Date,BRL_PYG,EUR_BRL,EUR_PYG,USD_BRL,USD_EUR,USD_PYG
2018-10-22,1591.3075913534494,4.937394414199436,6797.105477810388,4.427575444025063,1.6381193721807423,5906.105827803638
2018-10-23,1601.8101362874816,4.890806474915032,6767.367137774496,4.401401646525063,1.6415047089807424,5903.175232013238
2018-10-24,1597.54987604358,4.905531569497111,6772.883468574715,4.411638738725062,1.6408899145807423,5903.823251411338
2018-10-25,1582.7506918717506,4.917843095719427,6729.612173983492,4.446644444425063,1.6465981049807423,5904.517316226538
2018-10-26,1592.4065880795777,4.87937926852553,6709.439818113151,4.420347917825063,1.6483658576807425,5898.678906411138
2018-10-27,1628.9657757242474,4.8280820775870295,6779.963385784415,4.3581053941250625,1.6442468882807424,5932.752762481238
2018-10-28,1653.8572071975586,4.821580244761129,6872.831347864363,4.358041703425062,1.6456003396807424,6023.312967424338
2018-10-29,1622.4313816592185,4.81791309819326,6736.267452400437,4.358681574425063,1.6465283170807423,5909.886216938538
2018-10-30,1589.2796405770946,4.8942596682986235,6719.905723639597,4.433082072225063,1.6482837123807423,5907.327649976139
2018-10-31,1595.856385598132,4.859358292088764,6692.034989453383,4.412167229725062,1.6506118741807425,5898.4073443156385
2018-11-01,1586.2466957767567,4.87785387686011,6681.062281588831,4.438197491225063,1.6529213845807424,5904.165224051639
2018-11-02,1595.6006179870053,4.880541505522281,6724.753832461381,4.412214779725063,1.6461940252807423,5897.537751157938
2018-11-03,1598.2041693232975,4.873184337408924,6723.973180544229,4.4109137303250625,1.6474180863807424,5905.083076904139
2018-11-04,1616.9812671378713,4.87560003003972,6806.890876307783,4.412966566925062,1.6474018074807424,5977.787678324238
2018-11-05,1621.213857010213,4.879826853902709,6831.562410873514,4.413436097525063,1.6466325108807425,5994.197856119038
2018-11-06,1614.2953011944742,4.916653817338715,6861.838730168613,4.441858907325063,1.6457178915807424,6014.486179768338
2018-11-07,1589.9779033292546,4.967851862655695,6839.839481596684,4.477421908025063,1.6435540136807423,5980.405175921838
2018-11-08,1598.0897688067932,4.93259765213231,6818.416065166026,4.447967729925063,1.6438747300807424,5963.861276829438
2018-11-09,1587.346933689721,4.940035881407932,6784.376911997999,4.475999656325063,1.6489103891807424,5968.2510685525385
2018-11-10,1597.2751962077693,4.895467874708138,6755.64824953209,4.447819065025063,1.6515164038807424,5960.5836467562385
2018-11-11,1587.55521325415,4.892206845539351,6709.354972547761,4.443710933025063,1.6512251658807422,5917.786929783038
2018-11-12,1594.8072630375636,4.892031790908523,6739.729860080488,4.448217899925063,1.6523279850807424,5952.008850741839
2018-11-13,1584.8702157588918,4.8935322412512505,6700.105697952752,4.482775733725063,1.6601876632807424,5969.674303102738
