Date,DateTime,Rate,From,To
2016-03-29,2016-03-29 17:00:00,6340.538839892938,EUR,PYG
2016-03-30,2016-03-30 17:00:00,6378.3563908287915,EUR,PYG
2016-03-31,2016-03-31 17:00:00,6396.28044446671,EUR,PYG
2016-04-01,2016-04-01 17:00:00,6402.11242836209,EUR,PYG
2016-04-02,2016-04-02 17:00:00,6393.699024283874,EUR,PYG
2016-04-03,2016-04-03 17:00:00,6429.319186468629,EUR,PYG
2016-04-04,2016-04-04 17:00:00,6395.604863959367,EUR,PYG
2016-04-05,2016-04-05 17:00:00,6400.448828637927,EUR,PYG
2016-04-06,2016-04-06 17:00:00,6414.899028645092,EUR,PYG
2016-04-07,2016-04-07 17:00:00,6325.224186064084,EUR,PYG
2016-04-08,2016-04-08 17:00:00,6313.790434727469,EUR,PYG
2016-04-09,2016-04-09 17:00:00,6366.165243252238,EUR,PYG
2016-04-10,2016-04-10 17:00:00,6365.14586509188,EUR,PYG
2016-04-11,2016-04-11 17:00:00,6424.531398083662,EUR,PYG
2016-04-12,2016-04-12 17:00:00,6400.8685516346,EUR,PYG
2016-04-13,2016-04-13 17:00:00,6416.382971750684,EUR,PYG
2016-04-14,2016-04-14 17:00:00,6304.3301580343,EUR,PYG
2016-04-15,2016-04-15 17:00:00,6324.827240284043,EUR,PYG
2016-04-16,2016-04-16 17:00:00,6271.7554781869085,EUR,PYG
2016-04-17,2016-04-17 17:00:00,6272.424023505575,EUR,PYG
2016-04-18,2016-04-18 17:00:00,6278.3210283410235,EUR,PYG
2016-04-19,2016-04-19 17:00:00,6304.763121803277,EUR,PYG
2016-04-20,2016-04-20 17:00:00,6315.935726224164,EUR,PYG
2016-04-21,2016-04-21 17:00:00,6259.179509694422,EUR,PYG
2016-04-22,2016-04-22 17:00:00,6245.739336260983,EUR,PYG
2016-04-23,2016-04-23 17:00:00,6202.507345075798,EUR,PYG
2016-04-24,2016-04-24 17:00:00,6197.803089267751,EUR,PYG
2016-04-25,2016-04-25 17:00:00,6223.7246430045,EUR,PYG
2016-04-26,2016-04-26 17:00:00,6260.570273048309,EUR,PYG
2016-04-27,2016-04-27 17:00:00,6223.240074570603,EUR,PYG
2016-04-28,2016-04-28 17:00:00,6151.560131294412,EUR,PYG
2016-04-29,2016-04-29 17:00:00,6304.3330431088225,EUR,PYG
2016-04-30,2016-04-30 17:00:00,6357.569634986688,EUR,PYG
2016-05-01,2016-05-01 17:00:00,6358.128892716531,EUR,PYG
2016-05-02,2016-05-02 17:00:00,6392.413434965849,EUR,PYG
2016-05-03,2016-05-03 17:00:00,6429.305287064271,EUR,PYG
2016-05-04,2016-05-04 17:00:00,6404.24760941174,EUR,PYG
2016-05-05,2016-05-05 17:00:00,6394.195524590813,EUR,PYG
2016-05-06,2016-05-06 17:00:00,6335.909185260931,EUR,PYG
2016-05-07,2016-05-07 17:00:00,6375.5087843757465,EUR,PYG
2016-05-08,2016-05-08 17:00:00,6376.49036665381,EUR,PYG
2016-05-09,2016-05-09 17:00:00,6381.0691756968,EUR,PYG
2016-05-10,2016-05-10 17:00:00,6368.421130653564,EUR,PYG
2016-05-11,2016-05-11 17:00:00,6386.406420140649,EUR,PYG
2016-05-12,2016-05-12 17:00:00,6403.158799670524,EUR,PYG
2016-05-13,2016-05-13 17:00:00,6373.582472790664,EUR,PYG
2016-05-14,2016-05-14 17:00:00,6344.195221257395,EUR,PYG
2016-05-15,2016-05-15 17:00:00,6343.485972051785,EUR,PYG
2016-05-16,2016-05-16 17:00:00,6394.192986639536,EUR,PYG
2016-05-17,2016-05-17 17:00:00,6364.523609170808,EUR,PYG
2016-05-18,2016-05-18 17:00:00,6353.581515652353,EUR,PYG
2016-05-19,2016-05-19 17:00:00,6292.676340981465,EUR,PYG
2016-05-20,2016-05-20 17:00:00,6308.419742981437,EUR,PYG
2016-05-21,2016-05-21 17:00:00,6273.257953236442,EUR,PYG
2016-05-22,2016-05-22 17:00:00,6273.5692253390835,EUR,PYG
2016-05-23,2016-05-23 17:00:00,6312.445496031184,EUR,PYG
2016-05-24,2016-05-24 17:00:00,6289.908903814955,EUR,PYG
2016-05-25,2016-05-25 17:00:00,6246.552080284892,EUR,PYG
2016-05-26,2016-05-26 17:00:00,6287.105407554572,EUR,PYG
2016-05-27,2016-05-27 17:00:00,6303.338392953161,EUR,PYG
2016-05-28,2016-05-28 17:00:00,6221.780673909083,EUR,PYG
2016-05-29,2016-05-29 17:00:00,6222.707841447437,EUR,PYG
2016-05-30,2016-05-30 17:00:00,6351.528847405765,EUR,PYG
2016-05-31,2016-05-31 17:00:00,6242.358959624017,EUR,PYG
2016-06-01,2016-06-01 17:00:00,6344.040383624223,EUR,PYG
2016-06-02,2016-06-02 17:00:00,6375.438179938552,EUR,PYG
2016-06-03,2016-06-03 17:00:00,6357.766953574643,EUR,PYG
2016-06-04,2016-06-04 17:00:00,6460.398885428624,EUR,PYG
2016-06-05,2016-06-05 17:00:00,6450.7447806518885,EUR,PYG
2016-06-06,2016-06-06 17:00:00,6441.060083208602,EUR,PYG
2016-06-07,2016-06-07 17:00:00,6428.8359486685085,EUR,PYG
2016-06-08,2016-06-08 17:00:00,6403.232132218638,EUR,PYG
2016-06-09,2016-06-09 17:00:00,6440.782296711649,EUR,PYG
2016-06-10,2016-06-10 17:00:00,6406.476749242457,EUR,PYG
2016-06-11,2016-06-11 17:00:00,6351.792217634468,EUR,PYG
2016-06-12,2016-06-12 17:00:00,6350.035107111082,EUR,PYG
2016-06-13,2016-06-13 17:00:00,6342.56077480212,EUR,PYG
2016-06-14,2016-06-14 17:00:00,6400.869998877266,EUR,PYG
2016-06-15,2016-06-15 17:00:00,6331.093974693771,EUR,PYG
2016-06-16,2016-06-16 17:00:00,6377.921468240037,EUR,PYG
2016-06-17,2016-06-17 17:00:00,6286.616575941978,EUR,PYG
2016-06-18,2016-06-18 17:00:00,6357.339210015349,EUR,PYG
2016-06-19,2016-06-19 17:00:00,6353.848391636072,EUR,PYG
2016-06-20,2016-06-20 17:00:00,6440.186294523909,EUR,PYG
2016-06-21,2016-06-21 17:00:00,6385.048229614904,EUR,PYG
2016-06-22,2016-06-22 17:00:00,6335.0853385298915,EUR,PYG
2016-06-23,2016-06-23 17:00:00,6396.821848627815,EUR,PYG
2016-06-24,2016-06-24 17:00:00,6388.370304890246,EUR,PYG
2016-06-25,2016-06-25 17:00:00,6258.131396400026,EUR,PYG
2016-06-26,2016-06-26 17:00:00,6266.6114409823695,EUR,PYG
2016-06-27,2016-06-27 17:00:00,6238.05498476883,EUR,PYG
2016-06-28,2016-06-28 17:00:00,6193.139291421976,EUR,PYG
2016-06-29,2016-06-29 17:00:00,6221.239836435433,EUR,PYG
2016-06-30,2016-06-30 17:00:00,6244.030503297345,EUR,PYG
2016-07-01,2016-07-01 17:00:00,6200.497486700689,EUR,PYG
2016-07-02,2016-07-02 17:00:00,6264.795810307987,EUR,PYG
